Total runtime of Kruskal's Algorithm: 40.0 ms.
Edge from 399 to 460 has weight 13
Edge from 184 to 237 has weight 13
Edge from 223 to 956 has weight 14
Edge from 20 to 913 has weight 14
Edge from 63 to 394 has weight 14
Edge from 256 to 955 has weight 14
Edge from 130 to 637 has weight 14
Edge from 750 to 677 has weight 14
Edge from 553 to 583 has weight 14
Edge from 363 to 99 has weight 14
Edge from 433 to 33 has weight 14
Edge from 21 to 811 has weight 14
Edge from 277 to 932 has weight 14
Edge from 989 to 431 has weight 14
Edge from 289 to 775 has weight 14
Edge from 607 to 808 has weight 14
Edge from 140 to 627 has weight 14
Edge from 443 to 883 has weight 14
Edge from 142 to 686 has weight 14
Edge from 634 to 317 has weight 14
Edge from 322 to 323 has weight 14
Edge from 79 to 202 has weight 14
Edge from 718 to 887 has weight 14
Edge from 738 to 917 has weight 14
Edge from 752 to 971 has weight 14
Edge from 752 to 206 has weight 14
Edge from 737 to 797 has weight 14
Edge from 409 to 412 has weight 14
Edge from 902 to 566 has weight 14
Edge from 96 to 461 has weight 14
Edge from 901 to 465 has weight 14
Edge from 504 to 984 has weight 15
Edge from 943 to 680 has weight 15
Edge from 458 to 502 has weight 15
Edge from 508 to 257 has weight 15
Edge from 517 to 121 has weight 15
Edge from 521 to 26 has weight 15
Edge from 249 to 15 has weight 15
Edge from 267 to 862 has weight 15
Edge from 751 to 693 has weight 15
Edge from 480 to 630 has weight 15
Edge from 648 to 28 has weight 15
Edge from 707 to 637 has weight 15
Edge from 570 to 77 has weight 15
Edge from 938 to 37 has weight 15
Edge from 135 to 838 has weight 15
Edge from 592 to 391 has weight 15
Edge from 234 to 362 has weight 15
Edge from 24 to 707 has weight 15
Edge from 987 to 101 has weight 15
Edge from 310 to 730 has weight 15
Edge from 643 to 793 has weight 15
Edge from 745 to 231 has weight 15
Edge from 674 to 501 has weight 15
Edge from 456 to 695 has weight 15
Edge from 694 to 726 has weight 15
Edge from 98 to 286 has weight 15
Edge from 460 to 57 has weight 15
Edge from 53 to 436 has weight 15
Edge from 384 to 454 has weight 15
Edge from 967 to 716 has weight 15
Edge from 196 to 378 has weight 15
Edge from 834 to 29 has weight 15
Edge from 949 to 232 has weight 15
Edge from 34 to 554 has weight 16
Edge from 508 to 668 has weight 16
Edge from 511 to 900 has weight 16
Edge from 881 to 422 has weight 16
Edge from 2 to 779 has weight 16
Edge from 519 to 397 has weight 16
Edge from 443 to 404 has weight 16
Edge from 254 to 519 has weight 16
Edge from 256 to 306 has weight 16
Edge from 64 to 305 has weight 16
Edge from 572 to 324 has weight 16
Edge from 277 to 125 has weight 16
Edge from 580 to 776 has weight 16
Edge from 606 to 574 has weight 16
Edge from 907 to 407 has weight 16
Edge from 865 to 55 has weight 16
Edge from 67 to 61 has weight 16
Edge from 291 to 229 has weight 16
Edge from 139 to 396 has weight 16
Edge from 64 to 27 has weight 16
Edge from 112 to 146 has weight 16
Edge from 986 to 818 has weight 16
Edge from 222 to 682 has weight 16
Edge from 56 to 939 has weight 16
Edge from 627 to 532 has weight 16
Edge from 145 to 746 has weight 16
Edge from 261 to 661 has weight 16
Edge from 40 to 168 has weight 16
Edge from 860 to 738 has weight 16
Edge from 649 to 394 has weight 16
Edge from 652 to 777 has weight 16
Edge from 43 to 96 has weight 16
Edge from 36 to 166 has weight 16
Edge from 601 to 13 has weight 16
Edge from 80 to 498 has weight 16
Edge from 347 to 778 has weight 16
Edge from 921 to 162 has weight 16
Edge from 349 to 589 has weight 16
Edge from 355 to 531 has weight 16
Edge from 328 to 717 has weight 16
Edge from 730 to 110 has weight 17
Edge from 60 to 232 has weight 17
Edge from 802 to 700 has weight 17
Edge from 491 to 225 has weight 17
Edge from 245 to 201 has weight 17
Edge from 800 to 292 has weight 17
Edge from 792 to 337 has weight 17
Edge from 527 to 516 has weight 17
Edge from 428 to 651 has weight 17
Edge from 763 to 705 has weight 17
Edge from 829 to 328 has weight 17
Edge from 343 to 923 has weight 17
Edge from 401 to 157 has weight 17
Edge from 929 to 691 has weight 17
Edge from 267 to 222 has weight 17
Edge from 271 to 494 has weight 17
Edge from 365 to 587 has weight 17
Edge from 451 to 348 has weight 17
Edge from 296 to 349 has weight 17
Edge from 933 to 802 has weight 17
Edge from 992 to 812 has weight 17
Edge from 317 to 159 has weight 17
Edge from 369 to 83 has weight 17
Edge from 155 to 620 has weight 17
Edge from 141 to 696 has weight 17
Edge from 930 to 162 has weight 17
Edge from 258 to 133 has weight 17
Edge from 824 to 644 has weight 17
Edge from 945 to 661 has weight 17
Edge from 19 to 585 has weight 17
Edge from 424 to 481 has weight 17
Edge from 965 to 978 has weight 17
Edge from 301 to 968 has weight 17
Edge from 929 to 632 has weight 17
Edge from 693 to 72 has weight 17
Edge from 694 to 954 has weight 17
Edge from 360 to 113 has weight 17
Edge from 855 to 564 has weight 17
Edge from 46 to 228 has weight 17
Edge from 97 to 621 has weight 17
Edge from 468 to 376 has weight 17
Edge from 475 to 935 has weight 18
Edge from 502 to 66 has weight 18
Edge from 712 to 578 has weight 18
Edge from 836 to 804 has weight 18
Edge from 462 to 853 has weight 18
Edge from 224 to 353 has weight 18
Edge from 470 to 383 has weight 18
Edge from 472 to 527 has weight 18
Edge from 876 to 807 has weight 18
Edge from 533 to 599 has weight 18
Edge from 60 to 663 has weight 18
Edge from 754 to 203 has weight 18
Edge from 344 to 663 has weight 18
Edge from 425 to 761 has weight 18
Edge from 878 to 22 has weight 18
Edge from 732 to 219 has weight 18
Edge from 591 to 333 has weight 18
Edge from 294 to 249 has weight 18
Edge from 620 to 272 has weight 18
Edge from 783 to 915 has weight 18
Edge from 597 to 444 has weight 18
Edge from 799 to 755 has weight 18
Edge from 385 to 915 has weight 18
Edge from 516 to 139 has weight 18
Edge from 279 to 247 has weight 18
Edge from 589 to 987 has weight 18
Edge from 693 to 576 has weight 18
Edge from 745 to 770 has weight 18
Edge from 904 to 350 has weight 18
Edge from 529 to 792 has weight 19
Edge from 46 to 591 has weight 19
Edge from 437 to 297 has weight 19
Edge from 624 to 743 has weight 19
Edge from 227 to 958 has weight 19
Edge from 491 to 80 has weight 19
Edge from 816 to 724 has weight 19
Edge from 190 to 847 has weight 19
Edge from 517 to 281 has weight 19
Edge from 938 to 607 has weight 19
Edge from 318 to 820 has weight 19
Edge from 448 to 580 has weight 19
Edge from 541 to 235 has weight 19
Edge from 724 to 586 has weight 19
Edge from 744 to 183 has weight 19
Edge from 56 to 295 has weight 19
Edge from 741 to 883 has weight 19
Edge from 33 to 136 has weight 19
Edge from 479 to 335 has weight 19
Edge from 149 to 348 has weight 19
Edge from 512 to 438 has weight 19
Edge from 73 to 788 has weight 19
Edge from 806 to 105 has weight 19
Edge from 539 to 342 has weight 20
